"IL.1α","IL.1β","IL.2","IL.3","IL.4","IL.5","IL.6","IL.9","IL.10","IL.12p40","IL.12p70","IL.13","IL.17a","Eotaxin","GCSF","GMCSF","IFN.γ","KC","MCP.1","MIP.1a","MIP.1b","RANTES","TNFα","IL.15","IL.18","Basic.FGF","LIF","MCSF","MIG","MIP.2α","PDGF.BB","VEGF"
8.04,0.001,0.001,0.94,1.23,0.001,18,0.001,9.03,6.3,63.06,2.55,0.27,0.001,5.46,73.02,0.001,37.99,0.001,198.89,216.8,310.78,514.89,7.05,0.001,20.52,0.03,0.53,38.9,123.63,0.001,62.93
5.57,0.001,0.001,0.001,0.54,0.001,0.001,0.001,3.11,3.26,57.47,0.001,0.001,0.001,0.001,82.8,0.001,5.69,0.001,17.81,43.56,25.89,894.83,22.17,0.001,21.82,0.49,1.22,38.9,7.37,0.001,36.95
17.34,0.001,707.54,21.54,57.09,22.44,22.03,63.98,48.98,5.5,107.64,70.49,70.68,422.59,2.94,276.68,2318.51,6.86,152.07,1233.64,2986.85,475.83,790.21,26.62,0.001,27.97,79.59,4.88,1224.32,104.88,0.001,132.49
16.84,0.001,0.001,12,3.66,0.001,903.2,127.76,147.96,210.82,163.47,83.78,2.12,498.42,17.48,251.08,8.44,22.76,303.81,1750.43,1409.76,521.08,1048.1,39.11,16.2,23.1,1.35,3.66,121.2,98.79,0.001,155.57
0.93,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.11,5.18,35.08,0.001,0.001,0.001,1.2,99.44,0.001,7.69,0.001,43.2,85.21,85.4,725.72,22.17,0.001,32.55,0.001,2.1,66.2,86.28,0.001,22.48
8.85,0.001,0.001,2.55,1.77,0.001,14.63,0.001,20.19,8.69,49.09,25.66,0.001,24.54,26.26,126.14,0.69,35.37,0.001,382.77,500.28,788.28,717.15,12.54,0.001,20.52,0.001,2.27,79.88,545.61,0.001,28.86
42.2,51.83,0.001,10.36,4.33,0.001,76.39,0.001,62.78,22.68,102.07,77.14,0.82,130.19,970.22,203.33,25.62,770.66,275.72,2304.04,2157.74,393.11,1120.71,52.67,0.001,30.29,4.67,3.84,93.61,5893.88,0.001,41.21
8.04,0.001,0.001,0.001,0.4,0.001,4.9,0.001,6.16,6.14,37.89,2.55,0.001,0.001,6.83,0.001,0.001,20.11,0.001,189.87,294.96,523.72,513.05,12.54,0.001,23.1,0.001,1.4,52.54,228.13,0.001,19.93
2.51,0.001,0.001,0.001,0.001,0.001,0.001,63.98,4.15,4.86,51.89,0.001,0.001,0.001,0.001,61.64,0.001,4.07,0.001,23.47,56.98,50.36,833.71,26.62,0.001,20.52,0.03,2.27,45.72,13.65,0.001,23.33
7.87,0.001,245.38,3.2,57.87,0.001,10.19,57.87,20.62,4.22,40.7,11.92,22.73,0.001,0.001,55.03,106.77,10.02,0.001,172.86,716.15,118.86,732.57,17.51,0.001,11.87,58.76,2.53,706.14,42.08,0.001,112.84
17.34,10.28,0.001,12.82,3.59,0.001,561.46,127.76,124.37,192.66,143.9,70.49,1.61,145.84,14.59,224.3,7.06,15.47,224.64,2109.3,2296.58,519.81,1049.69,39.11,0.001,8.46,1.98,2.1,66.2,60.86,131.06,257.56
4.99,0.001,0.001,0.001,0.001,0.001,0.52,39.35,1.46,8.05,20.97,0.001,0.001,0.001,0.001,0.001,0.001,1.44,0.001,43.67,100.96,66.37,696.49,7.05,0.001,4.41,0.001,0.001,25.25,28.44,0.001,18.65
9.79,0.001,0.001,0.3,0.68,0.001,47.36,14.21,33.11,3.9,35.08,2.55,0.001,0.001,6.28,61.64,0.001,14.18,0.001,243.39,387.72,461.76,535.07,12.54,0.001,4.41,0.001,0.18,25.25,102.64,0.001,73.59
22.43,0.001,0.001,4.17,2.05,0.001,89.27,0.001,34.73,22.04,71.42,34.72,0.001,0.001,180.02,126.14,19.48,193.99,68.59,841.82,744,258.8,653.01,35.06,0.001,14.95,3.44,1.22,121.2,1744.64,0.001,77
13.13,0.001,0.001,0.001,0.001,0.001,12.28,22.94,7.13,11.87,37.89,0.001,0.001,0.001,5.18,0.001,0.001,22.76,0.001,113.69,177.77,311.41,525.92,0.001,0.001,4.41,0.26,0.001,25.25,138.33,0.001,18.23
5.76,0.001,0.001,0.001,0.001,0.001,2.21,93.68,3.11,4.54,37.89,0.001,0.001,0.001,0.001,0.001,0.001,5.06,0.001,25.03,68.37,36.75,796.94,12.54,0.001,8.46,0.001,0.001,11.47,14.12,32.54,19.08
22.66,0.001,660.53,23.52,106.71,37.58,52.86,0.001,95.95,7.1,124.37,143.09,99.92,114.2,14.33,291.25,5670.82,39.09,285.26,1997.54,4304.18,856.23,705.11,26.62,0.001,33.66,162.12,8.71,4231.79,240.73,0.001,166.27
21.73,50.44,0.001,18.41,5.52,0.001,3275.18,140.84,454.91,428.31,259.07,149.64,2.86,715.54,29.84,305.16,110.42,25.85,576.24,4764.33,7070.53,1875.58,1076.63,46.96,0.001,25.58,3.85,6.8,813.77,100.96,0.001,509.75
1.95,0.001,0.001,0.001,0.12,0.001,5.44,0.001,4.15,11.87,20.97,0.001,0.001,0.001,14.59,47.46,2.1,32.35,285.26,90.07,292.15,146.38,600.02,12.54,0.001,30.29,0.001,1.31,162.93,206.16,0.001,36.95
23.36,0.001,0.001,8.4,2.72,0.001,102.84,0.001,90.89,13.62,85.35,52.67,1.09,0.001,92.71,167.01,68.35,117.89,245.82,1020.54,1450.3,2021.34,610.7,35.06,0.001,34.76,3.03,4.53,304.86,984.18,0.001,91.5
101.66,123.89,0.001,15.61,5.79,0.001,402.91,57.87,221.78,38.22,143.9,105.83,6.46,396.81,3035.42,311.29,1140.67,1517.34,970.42,4081.42,4904.03,788.35,1657.41,58.25,0.001,39.02,10.88,5.93,599.89,13503.63,0.001,117.11
